ID,s1_delta_r
ZINC000000402573,1.722829
ZINC000016990777,1.723813
ZINC000013466185,1.725382
ZINC000096025252,1.725889
ZINC000016525171,1.727026
ZINC000032833650,1.728217
ZINC000104311341,1.729458
ZINC000003845278,1.730153
ZINC000000049852,1.730628
ZINC000106625058,1.730721
ZINC000000178607,1.731525
ZINC000025514097,1.731649
ZINC000083815631,1.732205
ZINC000075249853,1.733162
ZINC000408722237,1.734194
ZINC000006227507,1.734333
ZINC000101109290,1.73446
ZINC000328599653,1.736016
ZINC000005604719,1.736202
ZINC000002659935,1.736579
ZINC000006929887,1.737016
ZINC000285570707,1.737103
ZINC000014903481,1.738597
ZINC000044123668,1.739609
ZINC000022655678,1.739668
ZINC000003845270,1.739962
ZINC000952987412,1.741357
ZINC000004844965,1.742104
ZINC000008916561,1.743016
ZINC000021806079,1.743646
ZINC000002192471,1.74381
ZINC000002150583,1.746004
ZINC000000291444,1.749425
ZINC000004006176,1.750027
ZINC001529113054,1.750941
ZINC000001390632,1.751627
ZINC000095988436,1.754459
ZINC000005700411,1.754595
ZINC000102084424,1.754811
ZINC000004108783,1.757897
ZINC000252504569,1.758414
ZINC000004551921,1.758677
ZINC000012390755,1.761179
ZINC000100476475,1.762401
ZINC000014343215,1.763357
ZINC000952978118,1.768789
ZINC000239654242,1.769666
ZINC000018205195,1.771151
ZINC000002659301,1.773528
ZINC000000069197,1.774038
ZINC000253427035,1.774437
ZINC000089856784,1.774799
ZINC000065740353,1.778756
ZINC000005318205,1.778847
ZINC000095465712,1.779264
ZINC000000692364,1.779915
ZINC000024755680,1.779947
ZINC000072209505,1.780368
ZINC000100634114,1.780626
ZINC000001432906,1.781605
ZINC000065374175,1.783084
ZINC000010493853,1.783501
ZINC000035324301,1.783523
ZINC000003166342,1.783846
ZINC000003101439,1.784296
ZINC000334163717,1.785039
ZINC000005601683,1.790378
ZINC000952861189,1.792043
ZINC000000885699,1.792585
ZINC000004553637,1.792957
ZINC000002889400,1.79317
ZINC000021820915,1.793689
ZINC000012508101,1.794514
ZINC000006074234,1.796001
ZINC000000400149,1.796888
ZINC000072310514,1.796901
ZINC000057218787,1.798044
ZINC000015835352,1.799169
ZINC000035327037,1.800087
ZINC000096297669,1.801233
ZINC000102923211,1.802859
ZINC000021293815,1.806574
ZINC000044123306,1.807754
ZINC000075260232,1.808054
ZINC000004743391,1.808689
ZINC000108883087,1.809803
ZINC000005959702,1.81054
ZINC000003173969,1.810783
ZINC000075284509,1.812557
ZINC000025049926,1.814206
ZINC000004827901,1.815061
ZINC000003174112,1.816177
ZINC000008411835,1.816217
ZINC000013015005,1.816917
ZINC000023240306,1.817475
ZINC000095990365,1.817807
ZINC000012788729,1.819073
ZINC000089305715,1.819532
ZINC000021596255,1.822318
ZINC000225575953,1.82331
ZINC000005751451,1.824158
ZINC000008818059,1.825098
ZINC000585280882,1.825686
ZINC000009111644,1.825712
ZINC000009225158,1.825974
ZINC000017077588,1.82677
ZINC000004661756,1.82746
ZINC000012505412,1.830179
ZINC000002226736,1.83137
ZINC000242242290,1.833259
ZINC000001137921,1.83327
ZINC000000127705,1.834283
ZINC000000126742,1.835389
ZINC000524735094,1.835698
ZINC000000755264,1.836379
ZINC000003146088,1.838267
ZINC000000297141,1.840516
ZINC000298665939,1.841078
ZINC000048290729,1.84164
ZINC000006198818,1.841775
ZINC000079549046,1.841809
ZINC000047296402,1.841911
ZINC000004709804,1.842955
ZINC000025048456,1.843173
ZINC000000613757,1.845235
ZINC000005380238,1.845669
ZINC000003270814,1.847731
ZINC000044138572,1.847795
ZINC000039476557,1.848793
ZINC000089305704,1.851365
ZINC000006702003,1.851635
ZINC000013551546,1.851766
ZINC000027745057,1.852456
ZINC000008944498,1.853466
ZINC000070974654,1.853976
ZINC000057478110,1.854852
ZINC000009526437,1.855875
ZINC000002072670,1.856859
ZINC000048362991,1.856863
ZINC000003180318,1.857287
ZINC000069557879,1.858153
ZINC000012274129,1.858263
ZINC000000210864,1.858401
